Date,SiteID,Station,NominalDepth,SamplingDepth,CTD Cast Rep,UniqueID,NH4_ResultID,NH4_Lab,NH4_QC,NH4_QF,NH4_QA,NH4_Comment,NH4_SampleFieldReplicateNumber,NO2_ResultID,NO2_Lab,NO2_QC,NO2_QF,NO2_QA,NO2_Comment,NO2_SampleFieldReplicateNumber,NO3_ResultID,NO3_Lab,NO3_QC,NO3_QF,NO3_QA,NO3_Comment,NO3_SampleFieldReplicateNumber,PO4_ResultID,PO4_Lab,PO4_QC,PO4_QF,PO4_QA,PO4_Comment,PO4_SampleFieldReplicateNumber,SiOH4_ResultID,SiOH4_Lab,SiOH4_QC,SiOH4_QF,SiOH4_QA,SiOH4_Comment,SiOH4_SampleFieldReplicateNumber
12/13/2010,169,ADM001,10,9.84,1,1503387,63523131,0,2,J,3,typo said 6177 in UW data sheet should actually be 6176,1,63523132,0.1135,2,0,3,typo said 6177 in UW data sheet should actually be 6176,1,63523130,28.4372,2,0,3,typo said 6177 in UW data sheet should actually be 6176,1,63523133,2.6784,2,J,3,typo said 6177 in UW data sheet should actually be 6176,1,63523134,61.1538,2,0,3,typo said 6177 in UW data sheet should actually be 6176,1
1/4/2011,169,ADM001,0,0.82,1,1512272,63567540,0,2,J,3,,1,63567542,0.124,2,0,3,,1,63567541,27.3121,2,0,3,,1,63567544,2.3737,2,J,3,,1,63567543,58.6239,2,0,3,,1
1/4/2011,169,ADM001,10,9.46,1,1512273,63567549,0,2,J,3,,1,63567547,0.1238,2,0,3,,1,63567548,27.2581,2,0,3,,1,63567545,2.381,2,J,3,,1,63567546,58.036,2,0,3,,1
3/7/2011,169,ADM001,0,1.10,1,1502139,63516893,0.1167,2,0,3,,1,63516891,0.1972,2,0,3,,1,63516890,27.9727,2,0,3,,1,63516892,2.2941,2,0,3,,1,63516894,59.9699,2,0,3,,1
3/7/2011,169,ADM001,10,10.31,1,1502140,63516896,0.1483,2,0,3,,1,63516898,0.2012,2,0,3,,1,63516899,28.1428,2,0,3,,1,63516897,2.3148,2,0,3,,1,63516895,59.9182,2,0,3,,1
4/18/2011,169,ADM001,0,1.11,1,1502374,63518066,0.5972,2,0,3,,1,63518068,0.3199,2,0,3,,1,63518069,22.7267,2,0,3,,1,63518067,1.8573,2,0,3,,1,63518065,53.3991,2,0,3,,1
4/18/2011,169,ADM001,10,10.52,1,1502375,63518073,1.3845,2,0,3,,1,63518071,0.321,2,0,3,,1,63518070,22.8057,2,0,3,,1,63518072,1.8927,2,0,3,,1,63518074,51.703,2,0,3,,1
5/10/2011,169,ADM001,0,,1,1502181,63517103,0.5921,2,0,3,,1,63517101,0.1867,2,0,3,,1,63517100,10.8728,2,0,3,,1,63517102,1.0989,2,0,3,,1,63517104,35.6691,2,0,3,,1
5/10/2011,169,ADM001,10,10.27,1,1502180,63517096,1.1507,2,0,3,,1,63517098,0.2082,2,0,3,,1,63517099,16.6593,2,0,3,,1,63517097,1.5071,2,0,3,,1,63517095,37.9859,2,0,3,,1
6/8/2011,169,ADM001,0,,1,1512286,63567610,1.4397,2,0,3,,1,63567612,0.2496,2,0,3,,1,63567611,8.3831,2,0,3,,1,63567614,1.1579,2,0,3,,1,63567613,29.1032,2,0,3,,1
6/8/2011,169,ADM001,10,10.40,1,1512285,63567609,1.9023,2,0,3,,1,63567607,0.2669,2,0,3,,1,63567608,10.782,2,0,3,,1,63567605,1.3231,2,0,3,,1,63567606,30.9201,2,0,3,,1
8/1/2011,169,ADM001,0,1.19,1,1512431,63568339,0.514,2,0,3,,1,63568337,0.5118,2,0,3,,1,63568338,13.9663,2,0,3,,1,63568335,1.4384,2,0,3,,1,63568336,31.6048,2,0,3,,1
8/1/2011,169,ADM001,10,10.58,1,1512432,63568340,1.0526,2,0,3,,1,63568342,0.5424,2,0,3,,1,63568341,17.7382,2,0,3,,1,63568344,1.7719,2,0,3,,1,63568343,36.0627,2,0,3,,1
9/6/2011,169,ADM001,0,1.16,1,1512513,63568749,0.2359,2,0,3,,1,63568747,0.3807,2,0,3,,1,63568748,17.9769,2,0,3,,1,63568745,1.8641,2,0,3,,1,63568746,39.0243,2,0,3,,1
9/6/2011,169,ADM001,10,10.56,1,1512514,63568750,0.4368,2,0,3,,1,63568752,0.3889,2,0,3,,1,63568751,19.5957,2,0,3,,1,63568754,1.9615,2,0,3,,1,63568753,40.0438,2,0,3,,1
10/19/2011,169,ADM001,0,1.32,1,1512669,63569529,0.3573,2,0,3,,1,63569527,0.5115,2,0,3,,1,63569528,24.4655,2,0,3,,1,63569525,2.3521,2,0,3,,1,63569526,50.2582,2,0,3,,1
10/19/2011,169,ADM001,10,10.72,1,1512670,63569530,0.3689,2,0,3,,1,63569532,0.5198,2,0,3,,1,63569531,24.7856,2,0,3,,1,63569534,2.353,2,0,3,,1,63569533,50.3489,2,0,3,,1
11/15/2011,169,ADM001,0,1.29,1,1512740,63569880,0.0405,2,J,3,,1,63569882,0.2694,2,0,3,,1,63569881,25.2306,2,0,3,,1,63569884,2.3088,2,J,3,,1,63569883,54.4664,2,0,3,,1
11/15/2011,169,ADM001,10,10.69,1,1512741,63569889,0.0448,2,J,3,,1,63569887,0.2694,2,0,3,,1,63569888,25.3235,2,0,3,,1,63569885,2.3259,2,J,3,,1,63569886,54.7135,2,0,3,,1
1/11/2012,169,ADM001,0,,1,1500005,63506222,0.1645,2,JH,3,Analyzed 2 months past expiration date,1,63506223,0.2031,2,JH,3,Analyzed 2 months past expiration date,1,63506221,29.6547,2,JH,3,Analyzed 2 months past expiration date,1,63506224,2.43,2,JH,3,Analyzed 2 months past expiration date,1,63506225,66.752,2,JH,3,Analyzed 2 months past expiration date,1
1/11/2012,169,ADM001,10J,,1,1500006,63506229,0.1763,2,JH,3,Analyzed 2 months past expiration date,1,63506228,0.2186,2,JH,3,Analyzed 2 months past expiration date,1,63506230,27.3525,2,JH,3,Analyzed 2 months past expiration date,1,63506227,2.36,2,JH,3,Analyzed 2 months past expiration date,1,63506226,56.8202,2,JH,3,Analyzed 2 months past expiration date,1
2/6/2012,169,ADM001,0,1.06,1,1500074,63506569,0.0709,2,JH,3,Analyzed 1 month past expiration date,1,63506566,0.1628,2,JH,3,Analyzed 1 month past expiration date,1,63506570,27.4455,2,JH,3,Analyzed 1 month past expiration date,1,63506568,2.35,2,JH,3,Analyzed 1 month past expiration date,1,63506567,55.9288,2,JH,3,Analyzed 1 month past expiration date,1
2/6/2012,169,ADM001,10,10.72,1,1500075,63506572,0.0305,2,JH,3,Analyzed 1 month past expiration date,1,63506575,0.1626,2,JH,3,Analyzed 1 month past expiration date,1,63506571,27.4838,2,JH,3,Analyzed 1 month past expiration date,1,63506573,2.36,2,JH,3,Analyzed 1 month past expiration date,1,63506574,56.0382,2,JH,3,Analyzed 1 month past expiration date,1
3/8/2012,169,ADM001,0,,1,1500167,63507032,0.2416,2,0,3,,1,63507035,0.2394,2,0,3,,1,63507031,28.0917,2,0,3,,1,63507033,2.3389,2,0,3,,1,63507034,61.578,2,0,3,,1
4/10/2012,169,ADM001,0,,1,1500248,63507438,0.7268,2,0,3,,1,63507436,0.3172,2,0,3,,1,63507440,22.0764,2,0,3,,1,63507439,1.837,2,0,3,,1,63507437,45.5824,2,0,3,,1
5/2/2012,169,ADM001,0,1.41,1,1500310,63507748,1.4583,2,0,3,,1,63507746,0.2468,2,0,3,,1,63507750,18.5786,2,0,3,,1,63507749,1.4331,2,0,3,,1,63507747,42.1783,2,0,3,,1
5/2/2012,169,ADM001,10,10.80,1,1500311,63507753,2.4695,2,0,3,,1,63507755,0.2568,2,0,3,,1,63507751,19.6378,2,0,3,,1,63507752,1.5221,2,0,3,,1,63507754,40.1134,2,0,3,,1
6/11/2012,169,ADM001,0,1.01,1,1500427,63508333,2.3124,2,0,3,,1,63508335,0.4962,2,0,3,,1,63508331,14.4826,2,0,3,,1,63508332,1.4367,2,0,3,,1,63508334,30.601,2,0,3,,1
6/11/2012,169,ADM001,10,10.64,1,1500428,63508338,2.3238,2,0,3,,1,63508336,0.5237,2,0,3,,1,63508340,15.7979,2,0,3,,1,63508339,1.5473,2,0,3,,1,63508337,31.6386,2,0,3,,1
7/31/2012,169,ADM001,0,0.86,1,1500563,63509013,0.5499,2,0,3,,1,63509015,0.2655,2,0,3,,1,63509011,10.4923,2,0,3,,1,63509012,1.2235,2,0,3,,1,63509014,25.2576,2,0,3,,1
7/31/2012,169,ADM001,10,10.48,1,1500564,63509018,1.1389,2,0,3,,1,63509016,0.3173,2,0,3,,1,63509020,18.2098,2,0,3,,1,63509019,1.7319,2,0,3,,1,63509017,33.8244,2,0,3,,1
8/20/2012,169,ADM001,0,0.97,1,1500644,63509418,1.1011,2,0,3,,1,63509416,0.3037,2,0,3,,1,63509420,16.1245,2,0,3,,1,63509419,1.5988,2,0,3,,1,63509417,30.5437,2,0,3,,1
8/20/2012,169,ADM001,10,10.56,1,1500645,63509423,1.0513,2,0,3,,1,63509425,0.3034,2,0,3,,1,63509421,16.2054,2,0,3,,1,63509422,1.6237,2,0,3,,1,63509424,30.774,2,0,3,,1
9/17/2012,169,ADM001,0,0.89,1,1500747,63509933,0.5373,2,0,3,,1,63509935,0.4872,2,0,3,,1,63509931,16.0995,2,0,3,,1,63509932,1.7435,2,0,3,,1,63509934,37.0878,2,0,3,,1
9/17/2012,169,ADM001,10,10.57,1,1500748,63509938,0.73,2,0,3,,1,63509936,0.4899,2,0,3,,1,63509940,16.7718,2,0,3,,1,63509939,1.8239,2,0,3,,1,63509937,35.5379,2,0,3,,1
10/25/2012,169,ADM001,0,,1,1500822,63510308,0.9789,2,0,3,,1,63510306,0.6987,2,0,3,,1,63510310,22.4669,2,0,3,,1,63510309,2.4042,2,0,3,,1,63510307,47.7948,2,0,3,,1
10/25/2012,169,ADM001,10,10.57,1,1500823,63510313,1.3302,2,0,3,,1,63510315,0.7552,2,0,3,,1,63510311,21.5501,2,0,3,,1,63510312,2.4235,2,0,3,,1,63510314,47.4574,2,0,3,,1
12/27/2012,169,ADM001,0,1.10,1,1500994,63511168,0.0952,2,0,3,,1,63511166,0.0926,2,0,3,,1,63511170,26.4855,2,0,3,,1,63511169,2.3534,2,0,3,,1,63511167,57.7728,2,0,3,,1
12/27/2012,169,ADM001,10,10.71,1,1500995,63511173,0.0648,2,0,3,,1,63511175,0.102,2,0,3,,1,63511171,26.2577,2,0,3,,1,63511172,2.3298,2,0,3,,1,63511174,56.4685,2,0,3,,1
1/14/2013,169,ADM001,0,0.97,1,1501009,63511243,0.1317,2,0,3,,1,63511245,0.1145,2,0,3,,1,63511241,26.8148,2,0,3,,1,63511242,2.3173,2,0,3,,1,63511244,57.1688,2,0,3,,1
1/14/2013,169,ADM001,10,10.60,1,1501010,63511248,0.1299,2,0,3,,1,63511246,0.1206,2,0,3,,1,63511250,26.6266,2,0,3,,1,63511249,2.3169,2,0,3,,1,63511247,56.7437,2,0,3,,1
2/11/2013,169,ADM001,0,0.99,1,1501126,63511828,0.007,2,J,3,,1,63511826,0.1599,2,0,3,,1,63511830,26.3003,2,0,3,,1,63511829,2.3265,2,J,3,,1,63511827,60.8276,2,0,3,,1
2/11/2013,169,ADM001,10,10.63,1,1501127,63511833,0.0062,2,J,3,,1,63511835,0.166,2,0,3,,1,63511831,26.2493,2,0,3,,1,63511832,2.2867,2,J,3,,1,63511834,57.4218,2,0,3,,1
3/4/2013,169,ADM001,0,0.76,1,1501218,63512287,0.1127,2,0,3,Sample not in EAPMW,1,63512289,0.2278,2,0,3,Sample not in EAPMW,1,63512290,26.6845,2,0,3,Sample not in EAPMW,1,63512288,2.2917,2,0,3,Sample not in EAPMW,1,63512286,59.7604,2,0,3,Sample not in EAPMW,1
3/4/2013,169,ADM001,10,10.20,1,1501219,63512294,0.101,2,0,3,Sample not in EAPMW,1,63512292,0.2308,2,0,3,Sample not in EAPMW,1,63512291,26.8042,2,0,3,Sample not in EAPMW,1,63512293,2.3119,2,0,3,Sample not in EAPMW,1,63512295,59.7655,2,0,3,Sample not in EAPMW,1
4/22/2013,169,ADM001,0,0.73,1,1501349,63512944,0.6587,2,0,3,,1,63512942,0.2239,2,0,3,,1,63512941,15.7807,2,0,3,,1,63512943,1.4244,2,0,3,,1,63512945,40.0748,2,0,3,,1
4/22/2013,169,ADM001,10,10.00,1,1501350,63512947,0.9066,2,0,3,,1,63512949,0.233,2,0,3,,1,63512950,17.0892,2,0,3,,1,63512948,1.5308,2,0,3,,1,63512946,40.1273,2,0,3,,1
5/14/2013,169,ADM001,0,0.83,1,1501412,63513257,1.9907,2,0,3,,1,63513259,0.2755,2,0,3,,1,63513260,12.779,2,0,3,,1,63513258,1.4665,2,0,3,,1,63513256,34.182,2,0,3,,1
5/14/2013,169,ADM001,10,10.19,1,1501413,63513264,2.2737,2,0,3,,1,63513262,0.2786,2,0,3,,1,63513261,16.6913,2,0,3,,1,63513263,1.6734,2,0,3,,1,63513265,37.1334,2,0,3,,1
6/18/2013,169,ADM001,0,0.80,1,1501544,63513917,1.3531,2,0,3,,1,63513919,0.3457,2,0,3,,1,63513920,13.0312,2,0,3,,1,63513918,1.2294,2,0,3,,1,63513916,30.5361,2,0,3,,1
6/18/2013,169,ADM001,10,10.18,1,1501545,63513924,1.3604,2,0,3,,1,63513922,0.3498,2,0,3,,1,63513921,13.3371,2,0,3,,1,63513923,1.2601,2,0,3,,1,63513925,31.3839,2,0,3,,1
7/30/2013,169,ADM001,0,1.05,1,1501636,63514377,1.768,2,0,3,,1,63514379,0.3916,2,0,3,,1,63514380,14.0366,2,0,3,,1,63514378,1.5476,2,0,3,,1,63514376,34.9276,2,0,3,,1
7/30/2013,169,ADM001,10,9.98,1,1501637,63514384,1.8599,2,0,3,,1,63514382,0.3579,2,0,3,,1,63514381,14.5339,2,0,3,,1,63514383,1.563,2,0,3,,1,63514385,34.1783,2,0,3,,1
8/19/2013,169,ADM001,0,1.01,1,1501696,63514677,1.2435,2,0,3,,1,63514679,0.4228,2,0,3,,1,63514680,13.1678,2,0,3,,1,63514678,1.4458,2,0,3,,1,63514676,33.5865,2,0,3,,1
8/19/2013,169,ADM001,10,9.88,1,1501697,63514684,2.0286,2,0,3,,1,63514682,0.4311,2,0,3,,1,63514681,14.3924,2,0,3,,1,63514683,1.4727,2,0,3,,1,63514685,34.5175,2,0,3,,1
10/30/2013,169,ADM001,0,0.85,1,1501894,63515666,0.2634,2,0,3,,1,63515668,0.303,2,0,3,,1,63515669,18.7979,2,0,3,,1,63515667,2.06,2,0,3,,1,63515665,43.5972,2,0,3,,1
10/30/2013,169,ADM001,10,10.01,1,1501895,63515673,0.2541,2,0,3,,1,63515671,0.3061,2,0,3,,1,63515670,19.2058,2,0,3,,1,63515672,2.0636,2,0,3,,1,63515674,43.8189,2,0,3,,1
11/21/2013,169,ADM001,0,0.88,1,1501942,63515906,0.1017,2,0,3,,1,63515908,0.2828,2,0,3,,1,63515909,25.658,2,0,3,,1,63515907,2.4494,2,0,3,,1,63515905,54.247,2,0,3,,1
11/21/2013,169,ADM001,10,9.89,1,1501943,63515913,0.1057,2,0,3,,1,63515911,0.302,2,0,3,,1,63515910,25.537,2,0,3,,1,63515912,2.4494,2,0,3,,1,63515914,54.102,2,0,3,,1
12/16/2013,169,ADM001,0,0.87,1,1502017,63516283,0.0103,2,J,3,,1,63516281,0.1385,2,0,3,,1,63516280,26.072,2,0,3,,1,63516282,2.5029,2,J,3,,1,63516284,56.994,2,0,3,,1
12/16/2013,169,ADM001,10,9.81,1,1502018,63516286,0.0099,2,J,3,,1,63516288,0.1414,2,0,3,,1,63516289,26.0978,2,0,3,,1,63516287,2.5106,2,J,3,,1,63516285,56.8415,2,0,3,,1
3/13/2014,169,ADM001,0,1.26,1,1513026,63571310,0.288,2,0,3,,1,63571314,0.332,2,0,3,,1,63571312,26.405,2,0,3,,1,63571311,2.235,2,0,3,,1,63571313,59.105,2,0,3,,1
3/13/2014,169,ADM001,10,10.73,1,1513027,63571319,0.299,2,0,3,,1,63571315,0.345,2,0,3,,1,63571317,25.994,2,0,3,,1,63571318,2.179,2,0,3,,1,63571316,56.27,2,0,3,,1
4/7/2014,169,ADM001,0,,1,1513113,63571749,0.603,2,J,3,"AFM file is corrupt, no AFM data",1,63571745,0.381,2,J,3,"AFM file is corrupt, no AFM data",1,63571747,22.841,2,J,3,"AFM file is corrupt, no AFM data",1,63571748,1.883,2,J,3,"AFM file is corrupt, no AFM data",1,63571746,43.471,2,J,3,"AFM file is corrupt, no AFM data",1
4/7/2014,169,ADM001,10J,,1,1513114,63571750,0.569,2,J,3,"AFM file is corrupt, no AFM data",1,63571754,0.381,2,J,3,"AFM file is corrupt, no AFM data",1,63571752,22.804,2,J,3,"AFM file is corrupt, no AFM data",1,63571751,1.879,2,J,3,"AFM file is corrupt, no AFM data",1,63571753,43.052,2,J,3,"AFM file is corrupt, no AFM data",1
5/7/2014,169,ADM001,0,0.99,1,1513199,63572179,0.825,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572175,0.075,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572177,2.118,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572178,0.46,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572176,26.438,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1
5/7/2014,169,ADM001,10,10.21,1,1513200,63572180,2.113,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572184,0.243,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572182,11.079,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572181,1.373,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1,63572183,35.641,2,0,3,Lab Comment: MF1408; UW reported sample date: 2014-05-07,1
6/10/2014,169,ADM001,0,0.94,1,1513292,63572640,1.672,2,0,3,,1,63572644,0.593,2,0,3,,1,63572641,14.973,2,0,3,,1,63572642,1.52,2,0,3,,1,63572643,38.205,2,0,3,,1
6/10/2014,169,ADM001,10,10.69,1,1513293,63572649,1.699,2,0,3,,1,63572645,0.593,2,0,3,,1,63572648,15.122,2,0,3,,1,63572647,1.532,2,0,3,,1,63572646,38.092,2,0,3,,1
7/1/2014,169,ADM001,0,0.96,1,1513357,63572969,1.022,2,0,3,,1,63572965,0.265,2,0,3,,1,63572967,13.2,2,0,3,,1,63572968,1.34,2,0,3,,1,63572966,31.284,2,0,3,,1
8/11/2014,169,ADM001,0,0.96,1,1513437,63573368,1.457,2,0,3,,1,63573365,0.486,2,0,3,,1,63573369,16.807,2,0,3,,1,63573367,1.78,2,0,3,,1,63573366,38.371,2,0,3,,1
8/11/2014,169,ADM001,10,10.68,1,1513438,63573371,1.523,2,0,3,,1,63573374,0.467,2,0,3,,1,63573370,17.069,2,0,3,,1,63573372,1.808,2,0,3,,1,63573373,39.62,2,0,3,,1
9/3/2014,169,ADM001,0,0.90,1,1513529,63573827,1.53,2,0,3,,1,63573825,0.381,2,0,3,,1,63573829,17.738,2,0,3,,1,63573828,1.862,2,0,3,,1,63573826,38.267,2,0,3,,1
9/3/2014,169,ADM001,10,10.64,1,1513530,63573832,1.659,2,0,3,,1,63573834,0.38,2,0,3,,1,63573830,18.608,2,0,3,,1,63573831,1.909,2,0,3,,1,63573833,36.477,2,0,3,,1
10/2/2014,169,ADM001,0,,1,1513623,63574298,1.431,2,0,3,,1,63574295,0.521,2,0,3,,1,63574299,19.369,2,0,3,,1,63574297,2.241,2,0,3,,1,63574296,41.697,2,0,3,,1
10/2/2014,169,ADM001,10,10.56,1,1513624,63574301,1.381,2,0,3,,1,63574304,0.513,2,0,3,,1,63574300,19.422,2,0,3,,1,63574302,2.237,2,0,3,,1,63574303,42.133,2,0,3,,1
1/20/2015,169,ADM001,0,1.10,1,71769,76132,0.0159,2,J  ,3,NH4 is below detection limit. Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76133,0.0988,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76134,24.9328,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76135,2.354,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76136,56.1631,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1
1/20/2015,169,ADM001,10,10.28,1,71768,76127,0.0105,2,J  ,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76128,0.0946,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76129,24.8745,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76130,2.3533,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1,76131,54.5859,2,0,3,Lab Comment: below dectection limit for ammonium.; UW reported sample date: 2015-01-20,1
2/12/2015,169,ADM001,0,0.86,1,73381,77336,0.0472,2,J  ,3,Below detection limit; UW reported sample date: 2015-02-12,1,77337,0.1795,2,0,3,UW reported sample date: 2015-02-12,1,77338,26.4923,2,0,3,UW reported sample date: 2015-02-12,1,77339,2.3423,2,0,3,UW reported sample date: 2015-02-12,1,77340,58.7946,2,0,3,UW reported sample date: 2015-02-12,1
2/12/2015,169,ADM001,10,8.29,1,73380,77331,0.0262,2,J  ,3,Below detection limit; UW reported sample date: 2015-02-12,1,77332,0.1749,2,0,3,UW reported sample date: 2015-02-12,1,77333,26.5544,2,0,3,UW reported sample date: 2015-02-12,1,77334,2.3765,2,0,3,UW reported sample date: 2015-02-12,1,77335,56.185,2,0,3,UW reported sample date: 2015-02-12,1
3/4/2015,169,ADM001,0,1.00,1,74259,78806,0.1021,2,0,3,UW reported sample date: 2015-03-04,1,78807,0.2573,2,0,3,UW reported sample date: 2015-03-04,1,78808,21.3606,2,0,3,UW reported sample date: 2015-03-04,1,78809,1.7781,2,0,3,UW reported sample date: 2015-03-04,1,78810,41.6902,2,0,3,UW reported sample date: 2015-03-04,1
3/4/2015,169,ADM001,10,10.38,1,74258,78801,0.1024,2,0,3,UW reported sample date: 2015-03-04,1,78802,0.2573,2,0,3,UW reported sample date: 2015-03-04,1,78803,21.583,2,0,3,UW reported sample date: 2015-03-04,1,78804,1.7911,2,0,3,UW reported sample date: 2015-03-04,1,78805,43.6303,2,0,3,UW reported sample date: 2015-03-04,1
